1926年,华特正式成立“华特迪士尼制作公司”
1927年,《幸运兔子奥斯华》正式上映并深受观众欢迎
1928年,《疯狂的飞机》上映，他获得了“米老鼠之父”的头衔。米老鼠让华特在全球享有盛誉
1933年,华特为纪念妻子怀孕并初为人父，拍摄了闻名世界的《三只小猪》
1952年,《花儿与树》和“米老鼠系列”获得奥斯卡金像奖
1955年,迪士尼把动画片所运用的色彩、刺激、魔幻等表现手法与游乐园的功能相结合并推出了世界上第一个现代意义上的主题公园——洛杉矶迪士尼乐园；而后，加州冒险乐园于2001年开放。
1989年,迪士尼提议买下吉姆韩森（Jim Henson）的Muppets公司，并将其下之操偶师纳入迪士尼；迪士尼-米高梅制片厂在华特迪斯尼影片开幕。
1993年,迪士尼公司并购美国最重要独立片商之一的拉麦克斯影业公司（Miramax Films）。
2006年,迪士尼公司斥资74亿美元收购皮克斯动画工作室（Pixar Animation Studios）成为迪斯尼公司的子公司
2009年,迪士尼公司以42.4亿美元收购美国漫画巨头之一的（漫威漫画公司）Marvel Entertainment Inc.，获得了绝大部分漫画角色的所有权。美国排名前十位的电影洗印、制作和发行公司--梦工厂，携《变形金刚2》加盟迪士尼，开始了影业方面的深度合作。
2012年,迪士尼公司宣布以40.5亿美元收购因《星球大战》系列影片而著名卢卡斯影业。
2017年,《2017年BrandZ最具价值全球品牌100强》公布，迪士尼排名第18位。
2018年,世界品牌实验室编制的《2018世界品牌500强》揭晓，迪士尼排名第23
