米奇,米老鼠（米奇）这一形象考验着“好人难觅”的说法。米奇乐观豁达，拥有男孩子的热心天性，使他成为一个真正的赢家。他有孩子般的友好真诚，健康的价值观和敢想敢为的精神，这更是让米奇人见人爱。他不装腔作势，谦逊朴素，虽然声名远播，有很多辉煌的成就，在大家心目中建立了一个优秀的形象，但他却谦恭的做着一个普通人。米奇积极向上，诚实正直，敢想敢为的良好品质让他成为我们都想拥有的好朋友，也成为我们效仿的好榜样
米妮,米妮是一个典型的邻家女孩，有着善良，关心他人，热心助人等的女性美。她言谈高贵大方，举止优雅动人，具有少女的迷人魅力。她为人坦率天真，保留着乡村女孩的那份单纯朴实。她对人礼貌得体，尽管腼腆，却保留了她那份独立和自尊。喜欢快乐的米妮尽情的享受着美好的生活。作为一个能力很强的演员，她热爱音乐，拥有甜美的歌声，常常一个人哼哼唱唱。她甜蜜端庄但不幼稚，她聪明伶俐，有自己的想法，让人觉得安全和坚强，使得她的搭档米奇光芒四射，而她只在一旁安然优雅地分享着他的荣耀。
唐老鸭,唐老鸭（唐纳德）总以渴望的心情开始他满怀抱负的一天，盼望着一切都按照他的计划和意图进行，可是这个世界好像并不想跟他合作。总的来说，唐老鸭为人友好，性格乐观，是个乐天派，但当事情进行得不顺心时，便常常大发脾气。他有无穷的决心，坚毅的他近乎是固执。唐老鸭很在乎和关心他的家人和朋友，有福同享，有难同当，办事还算信得过。他的弱点就是我们的弱点，所以就比较多。他是一个可爱的底层小人物，虽失败不断却坚持不懈。
黛丝,黛丝时髦而世故，像摩登妇女一样兴趣广泛。她有着坚强的毅力和极强的个性，自信而独立，这是她跟米妮的一大相同点。黛丝在优越的环境中长大，对生活中美好的事物充满激情，她打扮优雅，香气袭人，知道自己很漂亮，喜欢被美好东西簇拥的感觉。黛丝就像是一个意志坚强的美国南方小美女，知道自己想要什么，更知道怎么去得到它，所以她更是一个聪明的贵族美女。
高飞,高飞（古飞）是一个天性善良，心地纯洁，笑口常开的朋友。他总是兴高采烈的，容易相处。可爱又带点愚昧的高飞用朴实的魅力赢得了大家的钟爱。虽然有时会犯点小错误，但过失总被他乐观，热情，积极和让人惊讶的好运气所弥补。高飞对朋友们始终忠心耿耿，是一个真正的绅士，也是一个运动健将，很受女孩子们的欢迎。他总是兴致高昂，不乏幽默感，让人觉得他灵感不断，无论遇上什么麻烦，总能笑对人生。
布鲁托,布鲁托，就是一只可爱忠心的狗。它友善忠诚，思想简单并充满好奇心。长大成熟的布鲁托依然像小孩子一样爱玩闹，就是“童心未泯”。它是米奇最重要，最忠诚的玩伴，随时听从米奇的召唤，热心地想取悦米奇。布鲁托喜欢在圆满完成任务后获得奖赏，渴望得到大家的承认和友爱，同时自己也很有爱心。心地善良的它是一个好孩子，一个信得过的真心朋友。
奇奇和帝帝,花栗鼠奇奇和帝帝，是两只可爱的花栗鼠，他们毕生目标就是拥有无尽的粮食，虽然他们经常形影不离，但个性却截然不同。钢牙奇奇拥有逻辑思维，而大鼻帝帝的思想却全无逻辑可言。首次亮相：和布鲁托作对。1943年，这两只花栗鼠首次亮相在动画短片Private Pluto中，在片中，他们是布鲁托的死对头。在1947年的卡通短片《Chipan'Dale》他们两个第一次有名字，而他们的对手却变成了唐老鸭，他也成为他们两个的主要对手，在此片中，他们有了区别，即鼻子、牙齿和逻辑思维。在1951年的短片TwoChipsandaMiss中，他们遇上了Clarice，这是一只来自花栗俱乐部的花栗鼠妹妹，他们两个成了情敌，可是经过了斗争之后，谁也没有夺得Clarice小姐的芳心。1989年，他们出演了属于自己的卡通电视剧《救援突击队》，在片中，他们身材迷你，但坚强无比；他们聪明伶俐，更勇敢正义。其中奇奇带着一个帽子，身穿深棕色夹克，而帝帝穿着橘红色花衬衫。奇奇和帝帝也是迪士尼主题乐园的当红明星，他们和米老鼠、唐老鸭及高飞十一个系列的人物，因此也经常出现在乐园的各个角落。
爱丽儿公主,美人鱼爱丽儿公主：爱冒险，有着世界上最美的歌喉。作为一条可爱的小美人鱼，爱丽儿向往的却是人鱼法律禁止她们接触的人类世界。她聪明美丽，非常勇敢，爱冒险，几乎可以用探险家来形容她。她是大海之王川顿国王最心爱的女儿，因为她有着世界上最美妙的歌喉。她最好的朋友是小比目鱼小胖和音乐大臣赛巴斯丁。她乐于收集一切人类世界的东西，虽然她不知道怎么用。在又一次的探险中，她救起了几乎溺水的亚力克王子，并对他一见钟情。而她的一腔热情也让恶毒的海底女巫乌苏拉有机可趁，可是父亲的智慧保护了她，终于愿望成真。
白雪公主,白雪公主：纯正的皇室血统，纯洁而美丽。白雪公主是一个年轻美丽的小公主，她美丽优雅年轻，说话温柔，为人和善，对身边朋友充满爱意。她是一位真正的公主。她的美丽被恶毒的继母妒嫉，她逃离王宫，在森林和七个小矮人成为朋友。由于她的单纯，不幸被继母的毒苹果毒害。可是也正是由于她的单纯可爱，赢得了朋友，赢得了森林里小动物们的友谊，最重要的是，赢得了属于自己的白马王子的爱情，王子的一吻让她从此过上了幸福快乐的生活。
贝尔公主,贝儿公主：知性美丽，聪明优雅。贝儿她天生丽质，纯真自然，还是一位聪颖殷切的好学者。对遥远的城堡和激动人心的冒险有着一份渴望。她最喜欢的娱乐活动是读书。虽然身边不乏追求者，可是贝儿仍然觉得自己在期待着真命天子的到来。当野兽俘虏了贝儿的父亲以后，她甘愿用自己的自由来换取父亲的生命；贝儿用自己的善良和聪明发现了野兽身上的许多闪光点，最后发现自己竟然爱上了他。凭着内心的坚韧和美丽的外貌，就在她吻下野兽的瞬间，奇迹发生了，野兽变成了英俊的王子，两人翩翩起舞，实现她完美的梦想。
